author,author_link
Albert Einstein,https://quotes.toscrape.com/author/Albert-Einstein
J.K. Rowling,https://quotes.toscrape.com/author/J-K-Rowling
Albert Einstein,https://quotes.toscrape.com/author/Albert-Einstein
Jane Austen,https://quotes.toscrape.com/author/Jane-Austen
Marilyn Monroe,https://quotes.toscrape.com/author/Marilyn-Monroe
Albert Einstein,https://quotes.toscrape.com/author/Albert-Einstein
André Gide,https://quotes.toscrape.com/author/Andre-Gide
Thomas A. Edison,https://quotes.toscrape.com/author/Thomas-A-Edison
Eleanor Roosevelt,https://quotes.toscrape.com/author/Eleanor-Roosevelt
Steve Martin,https://quotes.toscrape.com/author/Steve-Martin
